-------Epochs: 10-------
Sequence Length: 25, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.6671962699444174
Sequence Length: 25, Learning rate: 0.001, Batch size: 32, Validation Loss: 1.6958311384530376
Sequence Length: 25, Learning rate: 0.001, Batch size: 64, Validation Loss: 1.7561472498852273
Sequence Length: 25, Learning rate: 0.001, Batch size: 128, Validation Loss: 1.926683436421787
Sequence Length: 50, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.6339980578251023
Sequence Length: 50, Learning rate: 0.001, Batch size: 32, Validation Loss: 1.7271883643191794
Sequence Length: 50, Learning rate: 0.001, Batch size: 64, Validation Loss: 1.9038502188289868
Sequence Length: 50, Learning rate: 0.001, Batch size: 128, Validation Loss: 2.026964320855982
Sequence Length: 75, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.6477577103220897
Sequence Length: 75, Learning rate: 0.001, Batch size: 32, Validation Loss: 1.7743391265039858
Sequence Length: 75, Learning rate: 0.001, Batch size: 64, Validation Loss: 1.9418854402459187
Sequence Length: 75, Learning rate: 0.001, Batch size: 128, Validation Loss: 2.224586248397827
Sequence Length: 100, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.692051749298538
Sequence Length: 100, Learning rate: 0.001, Batch size: 32, Validation Loss: 1.8907913355266346
Sequence Length: 100, Learning rate: 0.001, Batch size: 64, Validation Loss: 2.067677245420568
Sequence Length: 100, Learning rate: 0.001, Batch size: 128, Validation Loss: 2.299592435359955
Sequence Length: 25, Learning rate: 0.003, Batch size: 16, Validation Loss: 1.6318547451238838
Sequence Length: 25, Learning rate: 0.003, Batch size: 32, Validation Loss: 1.647934488255343
Sequence Length: 25, Learning rate: 0.003, Batch size: 64, Validation Loss: 1.6787114108818164
Sequence Length: 25, Learning rate: 0.003, Batch size: 128, Validation Loss: 1.6817585019504322
Sequence Length: 50, Learning rate: 0.003, Batch size: 16, Validation Loss: 1.5875429935592542
Sequence Length: 50, Learning rate: 0.003, Batch size: 32, Validation Loss: 1.5937827030817668
Sequence Length: 50, Learning rate: 0.003, Batch size: 64, Validation Loss: 1.6198916645611035
Sequence Length: 50, Learning rate: 0.003, Batch size: 128, Validation Loss: 1.7678242571213667
Sequence Length: 75, Learning rate: 0.003, Batch size: 16, Validation Loss: 1.5874606098817743
Sequence Length: 75, Learning rate: 0.003, Batch size: 32, Validation Loss: 1.6319080098815586
Sequence Length: 75, Learning rate: 0.003, Batch size: 64, Validation Loss: 1.731557566186656
Sequence Length: 75, Learning rate: 0.003, Batch size: 128, Validation Loss: 1.8775655898180874
Sequence Length: 100, Learning rate: 0.003, Batch size: 16, Validation Loss: 1.569476350494053
Sequence Length: 100, Learning rate: 0.003, Batch size: 32, Validation Loss: 1.6445082250763388
Sequence Length: 100, Learning rate: 0.003, Batch size: 64, Validation Loss: 1.863545249490177
Sequence Length: 100, Learning rate: 0.003, Batch size: 128, Validation Loss: 1.9947062879800797
Sequence Length: 25, Learning rate: 0.0008, Batch size: 16, Validation Loss: 1.677469280555094
Sequence Length: 25, Learning rate: 0.0008, Batch size: 32, Validation Loss: 1.7129852514472796
Sequence Length: 25, Learning rate: 0.0008, Batch size: 64, Validation Loss: 1.7945803317470828
