Search at time: 2025-05-19 19:39:22.704364
------- Epochs: 10 -------
Sequence Length: 25, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.7661228896044998
Sequence Length: 25, Learning rate: 0.001, Batch size: 32, Validation Loss: 1.782202246377794
Sequence Length: 25, Learning rate: 0.001, Batch size: 64, Validation Loss: 1.8185315080310986
Sequence Length: 25, Learning rate: 0.001, Batch size: 128, Validation Loss: 1.8825839161872864
Sequence Length: 50, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.7350192867594658
Sequence Length: 50, Learning rate: 0.001, Batch size: 32, Validation Loss: 1.7807008632715198
Sequence Length: 50, Learning rate: 0.001, Batch size: 64, Validation Loss: 1.8332801671589123
Sequence Length: 50, Learning rate: 0.001, Batch size: 128, Validation Loss: 1.935061160255881
Sequence Length: 75, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.7287377157936925
Sequence Length: 75, Learning rate: 0.001, Batch size: 32, Validation Loss: 1.7912443487540535
Sequence Length: 75, Learning rate: 0.001, Batch size: 64, Validation Loss: 1.8801838055900906
Sequence Length: 75, Learning rate: 0.001, Batch size: 128, Validation Loss: 2.0016737526113335
Sequence Length: 100, Learning rate: 0.001, Batch size: 16, Validation Loss: 1.7461037065671838
Sequence Length: 100, Learning rate: 0.001, Batch size: 32, Validation Loss: 1.8145025863366968
Sequence Length: 100, Learning rate: 0.001, Batch size: 64, Validation Loss: 1.9097712320439957
Sequence Length: 100, Learning rate: 0.001, Batch size: 128, Validation Loss: 2.046884059906006
Sequence Length: 25, Learning rate: 0.003, Batch size: 16, Validation Loss: 1.853781788898029
Sequence Length: 25, Learning rate: 0.003, Batch size: 32, Validation Loss: 1.8180890898052737
Sequence Length: 25, Learning rate: 0.003, Batch size: 64, Validation Loss: 1.8036918674690137
Sequence Length: 25, Learning rate: 0.003, Batch size: 128, Validation Loss: 1.8144874853246353
Sequence Length: 50, Learning rate: 0.003, Batch size: 16, Validation Loss: 1.767129829461626
Sequence Length: 50, Learning rate: 0.003, Batch size: 32, Validation Loss: 1.7598809988602349
Sequence Length: 50, Learning rate: 0.003, Batch size: 64, Validation Loss: 1.7707430650206173
Sequence Length: 50, Learning rate: 0.003, Batch size: 128, Validation Loss: 1.8390541006537044
Sequence Length: 75, Learning rate: 0.003, Batch size: 16, Validation Loss: 1.7370563175367273
Sequence Length: 75, Learning rate: 0.003, Batch size: 32, Validation Loss: 1.7357215285301208
Sequence Length: 75, Learning rate: 0.003, Batch size: 64, Validation Loss: 1.7699014155761055
Sequence Length: 75, Learning rate: 0.003, Batch size: 128, Validation Loss: 1.8303405805067583
Sequence Length: 100, Learning rate: 0.003, Batch size: 16, Validation Loss: 1.7275243461995884
Sequence Length: 100, Learning rate: 0.003, Batch size: 32, Validation Loss: 1.7354872857823092
Sequence Length: 100, Learning rate: 0.003, Batch size: 64, Validation Loss: 1.7852024400935453
Sequence Length: 100, Learning rate: 0.003, Batch size: 128, Validation Loss: 1.8778769224882126
Sequence Length: 25, Learning rate: 0.0008, Batch size: 16, Validation Loss: 1.7845929676680257
Sequence Length: 25, Learning rate: 0.0008, Batch size: 32, Validation Loss: 1.789662663027537
Sequence Length: 25, Learning rate: 0.0008, Batch size: 64, Validation Loss: 1.8344664573669434
Sequence Length: 25, Learning rate: 0.0008, Batch size: 128, Validation Loss: 1.9023203393992256
Sequence Length: 50, Learning rate: 0.0008, Batch size: 16, Validation Loss: 1.749000408666597
Sequence Length: 50, Learning rate: 0.0008, Batch size: 32, Validation Loss: 1.786625419837841
Sequence Length: 50, Learning rate: 0.0008, Batch size: 64, Validation Loss: 1.8663439294871162
Sequence Length: 50, Learning rate: 0.0008, Batch size: 128, Validation Loss: 1.9660562346963322
Sequence Length: 75, Learning rate: 0.0008, Batch size: 16, Validation Loss: 1.753140592056772
Sequence Length: 75, Learning rate: 0.0008, Batch size: 32, Validation Loss: 1.8173066844110903
Sequence Length: 75, Learning rate: 0.0008, Batch size: 64, Validation Loss: 1.903292230937792
Sequence Length: 75, Learning rate: 0.0008, Batch size: 128, Validation Loss: 2.0490458445115523
Sequence Length: 100, Learning rate: 0.0008, Batch size: 16, Validation Loss: 1.769313451172649
Sequence Length: 100, Learning rate: 0.0008, Batch size: 32, Validation Loss: 1.8513342843336218
Sequence Length: 100, Learning rate: 0.0008, Batch size: 64, Validation Loss: 1.9515415850807638
Sequence Length: 100, Learning rate: 0.0008, Batch size: 128, Validation Loss: 2.1117862462997437
Sequence Length: 25, Learning rate: 0.0006, Batch size: 16, Validation Loss: 1.784800553064552
Sequence Length: 25, Learning rate: 0.0006, Batch size: 32, Validation Loss: 1.8188113034200326
Sequence Length: 25, Learning rate: 0.0006, Batch size: 64, Validation Loss: 1.8691478708515996
Sequence Length: 25, Learning rate: 0.0006, Batch size: 128, Validation Loss: 1.9426851588137009
Sequence Length: 50, Learning rate: 0.0006, Batch size: 16, Validation Loss: 1.7641883556791347
Sequence Length: 50, Learning rate: 0.0006, Batch size: 32, Validation Loss: 1.8255924867547078
Sequence Length: 50, Learning rate: 0.0006, Batch size: 64, Validation Loss: 1.9177569536601795
Sequence Length: 50, Learning rate: 0.0006, Batch size: 128, Validation Loss: 2.0173858263913322
Sequence Length: 75, Learning rate: 0.0006, Batch size: 16, Validation Loss: 1.7838675289050392
Sequence Length: 75, Learning rate: 0.0006, Batch size: 32, Validation Loss: 1.860398585381715
Sequence Length: 75, Learning rate: 0.0006, Batch size: 64, Validation Loss: 1.9631383004395857
Sequence Length: 75, Learning rate: 0.0006, Batch size: 128, Validation Loss: 2.1138173883611504
Sequence Length: 100, Learning rate: 0.0006, Batch size: 16, Validation Loss: 1.8032570489938708
Sequence Length: 100, Learning rate: 0.0006, Batch size: 32, Validation Loss: 1.8872782412697287
Sequence Length: 100, Learning rate: 0.0006, Batch size: 64, Validation Loss: 2.0168792920954086
Sequence Length: 100, Learning rate: 0.0006, Batch size: 128, Validation Loss: 2.186685025691986
Sequence Length: 25, Learning rate: 0.0003, Batch size: 16, Validation Loss: 1.8342532078139215
Sequence Length: 25, Learning rate: 0.0003, Batch size: 32, Validation Loss: 1.8911891489577808
Sequence Length: 25, Learning rate: 0.0003, Batch size: 64, Validation Loss: 1.9761208503142647
Sequence Length: 25, Learning rate: 0.0003, Batch size: 128, Validation Loss: 2.075129684279947
Sequence Length: 50, Learning rate: 0.0003, Batch size: 16, Validation Loss: 1.8607018637142594
Sequence Length: 50, Learning rate: 0.0003, Batch size: 32, Validation Loss: 1.940551113391268
Sequence Length: 50, Learning rate: 0.0003, Batch size: 64, Validation Loss: 2.052023070700028
Sequence Length: 50, Learning rate: 0.0003, Batch size: 128, Validation Loss: 2.1868626089657055
Sequence Length: 75, Learning rate: 0.0003, Batch size: 16, Validation Loss: 1.8889537051967953
Sequence Length: 75, Learning rate: 0.0003, Batch size: 32, Validation Loss: 1.9917170586793318
Sequence Length: 75, Learning rate: 0.0003, Batch size: 64, Validation Loss: 2.114157759624979
Sequence Length: 75, Learning rate: 0.0003, Batch size: 128, Validation Loss: 2.2870393883098257
Sequence Length: 100, Learning rate: 0.0003, Batch size: 16, Validation Loss: 1.9210130580957385
Sequence Length: 100, Learning rate: 0.0003, Batch size: 32, Validation Loss: 2.0289128983722016
Sequence Length: 100, Learning rate: 0.0003, Batch size: 64, Validation Loss: 2.1804714483373306
Sequence Length: 100, Learning rate: 0.0003, Batch size: 128, Validation Loss: 2.370569407939911
Sequence Length: 25, Learning rate: 0.0001, Batch size: 16, Validation Loss: 2.0133385105098753
Sequence Length: 25, Learning rate: 0.0001, Batch size: 32, Validation Loss: 2.098016458449604
Sequence Length: 25, Learning rate: 0.0001, Batch size: 64, Validation Loss: 2.197658604469852
Sequence Length: 25, Learning rate: 0.0001, Batch size: 128, Validation Loss: 2.3266198003993317
Sequence Length: 50, Learning rate: 0.0001, Batch size: 16, Validation Loss: 2.073193082706534
Sequence Length: 50, Learning rate: 0.0001, Batch size: 32, Validation Loss: 2.166705014049143
Sequence Length: 50, Learning rate: 0.0001, Batch size: 64, Validation Loss: 2.3195259290582992
Sequence Length: 50, Learning rate: 0.0001, Batch size: 128, Validation Loss: 2.5029587465174057
Sequence Length: 75, Learning rate: 0.0001, Batch size: 16, Validation Loss: 2.1153130790461665
Sequence Length: 75, Learning rate: 0.0001, Batch size: 32, Validation Loss: 2.242889642715454
Sequence Length: 75, Learning rate: 0.0001, Batch size: 64, Validation Loss: 2.40960256949715
Sequence Length: 75, Learning rate: 0.0001, Batch size: 128, Validation Loss: 2.709598497910933
Sequence Length: 100, Learning rate: 0.0001, Batch size: 16, Validation Loss: 2.168331204981044
Sequence Length: 100, Learning rate: 0.0001, Batch size: 32, Validation Loss: 2.298891810809865
Sequence Length: 100, Learning rate: 0.0001, Batch size: 64, Validation Loss: 2.4978266463560215
Sequence Length: 100, Learning rate: 0.0001, Batch size: 128, Validation Loss: 2.9320110082626343
Sequence Length: 25, Learning rate: 8e-05, Batch size: 16, Validation Loss: 2.0603853365500195
Sequence Length: 25, Learning rate: 8e-05, Batch size: 32, Validation Loss: 2.1456507195671684
Sequence Length: 25, Learning rate: 8e-05, Batch size: 64, Validation Loss: 2.2531449932982954
Sequence Length: 25, Learning rate: 8e-05, Batch size: 128, Validation Loss: 2.396374639342813
Sequence Length: 50, Learning rate: 8e-05, Batch size: 16, Validation Loss: 2.121281682158546
Sequence Length: 50, Learning rate: 8e-05, Batch size: 32, Validation Loss: 2.2221552323603975
Sequence Length: 50, Learning rate: 8e-05, Batch size: 64, Validation Loss: 2.371477049939773
Sequence Length: 50, Learning rate: 8e-05, Batch size: 128, Validation Loss: 2.6222785360672893
Sequence Length: 75, Learning rate: 8e-05, Batch size: 16, Validation Loss: 2.1726988113444783
Sequence Length: 75, Learning rate: 8e-05, Batch size: 32, Validation Loss: 2.299155919448189
Sequence Length: 75, Learning rate: 8e-05, Batch size: 64, Validation Loss: 2.4889257990795635
Sequence Length: 75, Learning rate: 8e-05, Batch size: 128, Validation Loss: 2.8888743790713223
Sequence Length: 100, Learning rate: 8e-05, Batch size: 16, Validation Loss: 2.2152792405391084
Sequence Length: 100, Learning rate: 8e-05, Batch size: 32, Validation Loss: 2.3704684692270614
Sequence Length: 100, Learning rate: 8e-05, Batch size: 64, Validation Loss: 2.627135024351232
Sequence Length: 100, Learning rate: 8e-05, Batch size: 128, Validation Loss: 3.2062124609947205
Sequence Length: 25, Learning rate: 3e-05, Batch size: 16, Validation Loss: 2.258769831211447
Sequence Length: 25, Learning rate: 3e-05, Batch size: 32, Validation Loss: 2.356764796826479
Sequence Length: 25, Learning rate: 3e-05, Batch size: 64, Validation Loss: 2.4939225203749062
Sequence Length: 25, Learning rate: 3e-05, Batch size: 128, Validation Loss: 2.8940166936201206
Sequence Length: 50, Learning rate: 3e-05, Batch size: 16, Validation Loss: 2.3480175399094176
Sequence Length: 50, Learning rate: 3e-05, Batch size: 32, Validation Loss: 2.4946136992910635
Sequence Length: 50, Learning rate: 3e-05, Batch size: 64, Validation Loss: 2.872285681612351
Sequence Length: 50, Learning rate: 3e-05, Batch size: 128, Validation Loss: 3.2423236089594223
Sequence Length: 75, Learning rate: 3e-05, Batch size: 16, Validation Loss: 2.4226907647174336
Sequence Length: 75, Learning rate: 3e-05, Batch size: 32, Validation Loss: 2.6348157965618633
Sequence Length: 75, Learning rate: 3e-05, Batch size: 64, Validation Loss: 3.1193539163340693
Sequence Length: 75, Learning rate: 3e-05, Batch size: 128, Validation Loss: 3.3303397568789395
Sequence Length: 100, Learning rate: 3e-05, Batch size: 16, Validation Loss: 2.482300633969514
Sequence Length: 100, Learning rate: 3e-05, Batch size: 32, Validation Loss: 2.837234384873334
Sequence Length: 100, Learning rate: 3e-05, Batch size: 64, Validation Loss: 3.292684555053711
Sequence Length: 100, Learning rate: 3e-05, Batch size: 128, Validation Loss: 3.328117787837982
Sequence Length: 25, Learning rate: 1e-05, Batch size: 16, Validation Loss: 2.5109712966054465
